Geography	Men_2021	Men_2022	Men_2023	Women_2021	Women_2022	Women_2023
Atlantic Region	51.8	57.4	18.5	49.8	51.1	46.5
Newfoundland and Labrador	52	56.4	14.7	54.4	54.6	49
Prince Edward Island	58.6	62.8	12.1	49	54.1	53.2
Nova Scotia	49.4	56.1	19.9	50.6	44.6	46
New Brunswick	53.4	58.6	20.5	45.6	56.5	44
Quebec	47.1	48.5	13.2	47.8	46.9	49.6
Ontario	44.8	49.2	18.1	44.6	51.6	44.2
Prairies Region	49.6	50	14	47.7	50.7	47.1
Manitoba	53.4	53.5	9.1	50.2	50.7	50
Saskatchewan	58.9	53.1	14.4	47.3	48.1	43
Alberta	46.2	48.2	15.4	47	51.3	47.3
British Columbia	52.3	45.7	12.9	49	52.7	49.1
